,Año,Modelo,Precio,Kms,Transmision,t_combustible,Href
120,2017,Hyundai Ioniq Electric Auto EV GLS,$21.000.000 CLP,43.000 km,Automática,Eléctrico,https://www.chileautos.cl/vehiculos/detalles/2017-hyundai-ioniq-electric-auto-ev-gls/CL-AD-12569211/?Cr=130
121,2017,Nissan Np300 2.3 Manual DSL XE,$18.500.000 CLP,140.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-np300-2-3-manual-dsl-xe/CL-AD-12711674/?Cr=131
122,2011,Honda Pilot,$13.990.000 CLP,196.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2011-honda-pilot/CL-AD-12651079/?Cr=132
123,2016,Audi A4 TFSI 2.0 Sline,$23.500.000 CLP,76.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-audi-a4-tfsi-2-0-sline/CL-AD-12270786/?Cr=133
124,2018,Volkswagen Golf 2.0 TDI DSG Auto Sport,$18.790.000 CLP,86.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-volkswagen-golf-2-0-tdi-dsg-auto-sport/CL-AD-11083875/?Cr=135
125,2018,Dodge Ram 1500,$43.000.000 CLP,75.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-dodge-ram-1500/CL-AD-11437272/?Cr=136
126,2021,Nissan Navara 2.3D DC Auto XE 4WD,$31.800.000 CLP,32.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2021-nissan-navara-2-3d-dc-auto-xe-4wd/CL-AD-12552793/?Cr=137
127,2018,Ford F-150 5.0 Double Cab XLT 4WD,$35.700.000 CLP,37.509 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-5-0-double-cab-xlt-4wd/CL-AD-12280509/?Cr=138
128,2019,Jeep Renegade 1.8 Manual Sport LX,$16.200.000 CLP,30.500 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-jeep-renegade-1-8-manual-sport-lx/CL-AD-12450788/?Cr=139
129,2018,Chery Fulwin2,$6.800.000 CLP,104.500 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-chery-fulwin2/CL-AD-12686030/?Cr=140
130,2018,Ford F-150 5.0 Double Cab XLT 4WD,$30.250.000 CLP,60.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-5-0-double-cab-xlt-4wd/CL-AD-12711546/?Cr=141
131,2010,Suzuki Grand Vitara,$11.000.000 CLP,133.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2010-suzuki-grand-vitara/CL-AD-12637504/?Cr=142
132,2019,MINI F56,$20.990.000 CLP,29.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mini-f56/CL-AD-12680597/?Cr=143
133,2017,Hyundai Santa Fe 2.2 DM GLS 4WD Auto CRDI Full,$24.950.000 CLP,86.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-hyundai-santa-fe-2-2-dm-gls-4wd-auto-crdi-full/CL-AD-12711410/?Cr=144
134,2017,Nissan Np300 2.3 Manual DSL XE 4WD,$20.490.000 CLP,64.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-np300-2-3-manual-dsl-xe-4wd/CL-AD-12734831/?Cr=146
135,2017,Jeep Grand Cherokee 3.6 Limited 4WD Auto,$30.500.000 CLP,78.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-jeep-grand-cherokee-3-6-limited-4wd-auto/CL-AD-10429997/?Cr=148
136,2016,Nissan Np300 2.5 XE,$17.800.000 CLP,100.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-nissan-np300-2-5-xe/CL-AD-11334386/?Cr=149
137,2015,Toyota 4Runner,$22.800.000 CLP,183.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-toyota-4runner/CL-AD-12010837/?Cr=150
138,2019,Fiat Ducato 16+1,$24.500.000 CLP,175.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-fiat-ducato-161/CL-AD-12327779/?Cr=151
139,2018,Peugeot Boxer,$22.000.000 CLP,186.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer/CL-AD-12482230/?Cr=152
140,2015,Chery Grand Tiggo,$7.800.000 CLP,120.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-chery-grand-tiggo/CL-AD-12651523/?Cr=153
141,2007,Dodge Ram 1500,$9.800.000 CLP,270.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2007-dodge-ram-1500/CL-AD-12356013/?Cr=155
142,2019,Ford Mustang 5.0 GT Premium Auto,$38.300.000 CLP,27.800 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-ford-mustang-5-0-gt-premium-auto/CL-AD-12546705/?Cr=156
143,2020,Citroën C4 Cactus 1.5 BlueHDI 120 EAT6 Shine,$22.000.000 CLP,37.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2020-citron-c4-cactus-1-5-bluehdi-120-eat6-shine/CL-AD-12265194/?Cr=159
144,2013,Opel Corsa 1.4 Enjoy Full 5P,$7.400.000 CLP,196.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-opel-corsa-1-4-enjoy-full-5p/CL-AD-12710176/?Cr=160
145,2017,Toyota Hilux 2.4D DX,$20.000.000 CLP,180.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-toyota-hilux-2-4d-dx/CL-AD-12334430/?Cr=161
146,2022,Peugeot Partner 1.6 HDI L1,$17.890.000 CLP,215 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-partner-1-6-hdi-l1/CL-AD-12647855/?Cr=162
147,2019,Mazda Cx-9,$30.000.000 CLP,64.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-9/CL-AD-12730686/?Cr=163
148,2014,Jeep Grand Cherokee 3.6 Limited 4WD Auto,$24.990.000 CLP,62.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-jeep-grand-cherokee-3-6-limited-4wd-auto/CP-AD-7929498/?Cr=164
149,2011,Toyota Rav4 2.4 Lujo Auto 4x4,$13.000.000 CLP,41.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2011-toyota-rav4-2-4-lujo-auto-4x4/CL-AD-12576505/?Cr=165
150,2014,INFINITI G37 3.7 Auto 37 4WD,$17.500.000 CLP,64.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-infiniti-g37-3-7-auto-37-4wd/CL-AD-12551732/?Cr=166
151,2018,Suzuki Ertiga,$11.490.000 CLP,54.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-suzuki-ertiga/CL-AD-12502361/?Cr=167
152,2016,Land Rover Discovery Sport,$23.990.000 CLP,134.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-land-rover-discovery-sport/CL-AD-12719499/?Cr=168
153,2014,BMW 116 2.0 116D A Sport Line,$18.000.000 CLP,83.258 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2014-bmw-116-2-0-116d-a-sport-line/CL-AD-12680482/?Cr=169
154,2016,Opel Insignia 2.8 Turbo OPC Auto,$22.000.000 CLP,32.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-opel-insignia-2-8-turbo-opc-auto/CL-AD-12704830/?Cr=170
155,2015,Renault Megane III,$8.300.000 CLP,116.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-renault-megane-iii/CL-AD-12706611/?Cr=171
156,2018,Hyundai Tucson 2.0 Value,$18.300.000 CLP,46.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-hyundai-tucson-2-0-value/CL-AD-12724021/?Cr=172
157,2019,Chevrolet Onix 1.4 Activ,$11.900.000 CLP,43.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-chevrolet-onix-1-4-activ/CL-AD-11950549/?Cr=173
158,2011,Mazda 3 1.6 V SRF,$8.900.000 CLP,105.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2011-mazda-3-1-6-v-srf/CL-AD-11585547/?Cr=174
159,2011,Mazda 3 Sport,$9.500.000 CLP,107.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2011-mazda-3-sport/CL-AD-11805608/?Cr=175
160,2012,Toyota 4Runner,$21.000.000 CLP,127.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-toyota-4runner/CL-AD-11816542/?Cr=176
161,2018,Chevrolet Silverado 5.3 Auto LTZ Z71 DC 4WD,$31.990.000 CLP,64.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-chevrolet-silverado-5-3-auto-ltz-z71-dc-4wd/CL-AD-12057058/?Cr=177
162,2017,Toyota Rav4 2.5 Super Lujo Auto,$18.500.000 CLP,61.900 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-toyota-rav4-2-5-super-lujo-auto/CL-AD-12734696/?Cr=178
163,2013,Audi R8,$74.000.000 CLP,53.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-audi-r8/CL-AD-12731214/?Cr=179
164,2017,Chevrolet Captiva 2.2 DSL LS,$15.500.000 CLP,115.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-chevrolet-captiva-2-2-dsl-ls/CL-AD-12573264/?Cr=180
165,2022,Dongfeng Sx5 1.6 Luxury,$11.890.000 CLP,Manual,Bencina,"13,8 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-dongfeng-sx5-1-6-luxury/CP-AD-7927105/?Cr=181
166,2019,Mercedes-Benz C 220 2.1 C 220 CDI Auto Bluetec,$33.500.000 CLP,22.500 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-mercedes-benz-c-220-2-1-c-220-cdi-auto-bluetec/CL-AD-12657031/?Cr=182
167,2016,Chevrolet Sail 1.5,$6.300.000 CLP,110.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-1-5/CL-AD-12661730/?Cr=183
168,2016,Ford Explorer 3.5 XLT Auto,$22.000.000 CLP,85.327 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-ford-explorer-3-5-xlt-auto/CL-AD-12672166/?Cr=184
169,2017,Suzuki Baleno 1.4 GLS,$9.990.000 CLP,46.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-suzuki-baleno-1-4-gls/CL-AD-12699533/?Cr=185
170,2018,Mazda 6 2.0 Skyactiv-G V Auto CU,$17.500.000 CLP,62.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-mazda-6-2-0-skyactiv-g-v-auto-cu/CL-AD-12707349/?Cr=186
171,2007,BMW M6,$24.500.000 CLP,96.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2007-bmw-m6/CL-AD-11813311/?Cr=187
172,2014,SsangYong Korando 2.0 Auto STD Full,$11.790.000 CLP,105.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-ssangyong-korando-2-0-auto-std-full/CL-AD-12637305/?Cr=188
173,1973,Dodge Ail Polara,$16.000.000 CLP,100.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/1973-dodge-ail-polara/CL-AD-12354350/?Cr=189
174,2013,Alfa Romeo 159 *Conversable* Aut.y Méc. Selespeed Sport 2.2,$11.890.000 CLP,102.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-alfa-romeo-159-conversable-aut-y-mc-selespeed-sport-2-2/CL-AD-12265350/?Cr=190
175,2017,Kia Cerato 1.6 EX Manual AC,$11.900.000 CLP,100.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-kia-cerato-1-6-ex-manual-ac/CL-AD-12675653/?Cr=191
176,2017,Peugeot Boxer 2.2 HDI 150 HP Manual L2H2,$21.490.000 CLP,115.980 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-peugeot-boxer-2-2-hdi-150-hp-manual-l2h2/CL-AD-12668268/?Cr=192
177,2014,Renault Fluence 2.0 Authentique,$6.500.000 CLP,95.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-renault-fluence-2-0-authentique/CL-AD-12681327/?Cr=193
178,2015,Suzuki Grand Vitara,$10.200.000 CLP,120.358 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-suzuki-grand-vitara/CL-AD-12619642/?Cr=194
179,2019,Peugeot 3008 1.5 BlueHDI 130 Auto GT Line,$26.890.000 CLP,79.500 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-3008-1-5-bluehdi-130-auto-gt-line/CL-AD-12583874/?Cr=195
180,2017,Toyota Rav4 2.5 Super Lujo Auto,$16.890.000 CLP,150.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-toyota-rav4-2-5-super-lujo-auto/CL-AD-12641343/?Cr=197
181,2017,Ford Ranger 3.2 Manual DSL Duratorq XLT 4WD,$21.700.000 CLP,128.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-ford-ranger-3-2-manual-dsl-duratorq-xlt-4wd/CL-AD-12680892/?Cr=198
182,2014,INFINITI Qx70 3.7 Auto 4WD,$21.000.000 CLP,85.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-infiniti-qx70-3-7-auto-4wd/CL-AD-12194790/?Cr=199
183,2020,Volkswagen Polo 1.6 110 CV Comfortline,$12.300.000 CLP,62.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-volkswagen-polo-1-6-110-cv-comfortline/CL-AD-12626032/?Cr=200
184,2021,SsangYong Musso 2.2D Auto Grand Full QL612,$24.800.000 CLP,33.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2021-ssangyong-musso-2-2d-auto-grand-full-ql612/CL-AD-12349099/?Cr=201
185,2014,Mitsubishi L200,$14.000.000 CLP,151 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2014-mitsubishi-l200/CL-AD-12380948/?Cr=202
186,2019,Mitsubishi Asx,$16.500.000 CLP,60.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mitsubishi-asx/CL-AD-12699030/?Cr=203
187,2012,Jeep Compass 2.4 Sport 4X4 Auto,$9.000.000 CLP,85.430 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-jeep-compass-2-4-sport-4x4-auto/CL-AD-12739285/?Cr=204
188,2017,Mercedes-Benz Glc 220,$33.500.000 CLP,103.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-mercedes-benz-glc-220/CL-AD-12566275/?Cr=206
189,2017,Mazda 3 Sport,$15.800.000 CLP,49.600 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-mazda-3-sport/CL-AD-12710469/?Cr=207
190,2014,MINI Countryman Cooper,$20.490.000 CLP,80.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-mini-countryman-cooper/CL-AD-11806917/?Cr=208
191,2019,Peugeot 3008 1.5 BlueHDI 130 Active Pack,$20.490.000 CLP,84.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-3008-1-5-bluehdi-130-active-pack/CL-AD-12627986/?Cr=209
192,2019,Toyota Rav4 2.0 Manual Lujo,$18.500.000 CLP,18.800 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-toyota-rav4-2-0-manual-lujo/CL-AD-12419835/?Cr=210
193,2010,Volkswagen Bora Trendline Sky,$5.600.000 CLP,148.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2010-volkswagen-bora-trendline-sky/CL-AD-12589354/?Cr=211
194,2019,Mercedes-Benz C 300 2.0 C 300 Auto,$35.800.000 CLP,19.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mercedes-benz-c-300-2-0-c-300-auto/CL-AD-12450128/?Cr=213
195,2018,Ford F-150 5.0 Double Cab Lariat Luxury 4WD,$35.500.000 CLP,80.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-5-0-double-cab-lariat-luxury-4wd/CL-AD-12108593/?Cr=214
196,2013,Jeep Grand Cherokee,$19.900.000 CLP,110.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-jeep-grand-cherokee/CL-AD-12729731/?Cr=216
197,2017,Citroën Berlingo 1.6 HDI VU BVM5 AA 2AB Corto,$10.190.000 CLP,83.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-citron-berlingo-1-6-hdi-vu-bvm5-aa-2ab-corto/CL-AD-12609744/?Cr=217
198,2018,Peugeot 208 1.2 Puretech 82 HP Manual Active,$12.800.000 CLP,8.470 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-208-1-2-puretech-82-hp-manual-active/CL-AD-12699293/?Cr=218
199,2017,Chevrolet Spin,$12.500.000 CLP,71.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-chevrolet-spin/CL-AD-12403587/?Cr=219
200,2013,Fiat Fiorino City,$5.980.000 CLP,250.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2013-fiat-fiorino-city/CL-AD-12557822/?Cr=220
201,2019,Nissan March,$8.790.000 CLP,47.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-nissan-march/CL-AD-12054138/?Cr=221
202,2019,Ford Ecosport,$13.900.000 CLP,37.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-ford-ecosport/CL-AD-12054220/?Cr=222
203,2014,Chevrolet Captiva,$12.500.000 CLP,93.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-captiva/CL-AD-12667023/?Cr=223
204,2018,Citroën Berlingo 1.6 Manual HDI VU BVM5 AA 2AB Corto,$11.000.000 CLP,116.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-citron-berlingo-1-6-manual-hdi-vu-bvm5-aa-2ab-corto/CL-AD-12246489/?Cr=224
205,2021,Chevrolet Silverado 5.3 Auto LTZ DC 4WD,$46.800.000 CLP,30.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-silverado-5-3-auto-ltz-dc-4wd/CL-AD-12590678/?Cr=225
206,2015,Jeep Wrangler,$31.500.000 CLP,123.258 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2015-jeep-wrangler/CL-AD-12268252/?Cr=226
207,2018,SsangYong Actyon Sports 2.2D STD Manual 6AS710AA 4WD,$17.490.000 CLP,68.800 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-ssangyong-actyon-sports-2-2d-std-manual-6as710aa-4wd/CL-AD-12699204/?Cr=227
208,2018,Kia Morning 1.2 EX ABS,$9.890.000 CLP,14.092 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-kia-morning-1-2-ex-abs/CL-AD-12574144/?Cr=228
209,2016,Kia Sorento 2.2 DSL EX Auto Full 4WD,$21.000.000 CLP,110.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2016-kia-sorento-2-2-dsl-ex-auto-full-4wd/CL-AD-12667054/?Cr=229
210,2019,Mitsubishi Gt 3000 Outlander,$16.500.000 CLP,53.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mitsubishi-gt-3000-outlander/CL-AD-12680459/?Cr=230
211,1986,Daihatsu Hijet,$2.990.000 CLP,100.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/1986-daihatsu-hijet/CL-AD-11719940/?Cr=231
212,2017,Gac Gonow Cargo Box,$6.100.000 CLP,33.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-gac-gonow-cargo-box/CL-AD-11856078/?Cr=232
213,2017,Kia Sportage,$16.500.000 CLP,47.887 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-kia-sportage/CL-AD-12219897/?Cr=233
214,2004,Toyota 4Runner,$8.800.000 CLP,316 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2004-toyota-4runner/CL-AD-11400896/?Cr=234
215,2015,Ford F-150 5.0 Double Cab XLT 4WD,$22.000.000 CLP,190.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-ford-f-150-5-0-double-cab-xlt-4wd/CL-AD-12709709/?Cr=236
216,2011,Fiat Grande Punto 1.3 Active MJT,$5.900.000 CLP,133.491 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2011-fiat-grande-punto-1-3-active-mjt/CL-AD-12565144/?Cr=237
217,2017,Hyundai Accent 1.4 RB Manual GL 2AB ABS AC NB,$9.300.000 CLP,121.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-hyundai-accent-1-4-rb-manual-gl-2ab-abs-ac-nb/CL-AD-12439373/?Cr=238
218,2016,SsangYong Actyon Sports 2.0D Auto NAS623,$16.300.000 CLP,120.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2016-ssangyong-actyon-sports-2-0d-auto-nas623/CL-AD-12353353/?Cr=239
219,2020,Ram Ram 1000 1.8 Big Horn Auto DC,$18.950.000 CLP,43.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-ram-ram-1000-1-8-big-horn-auto-dc/CL-AD-11800897/?Cr=240
220,2012,Hyundai Sonata 2.0 YF GLS Sun Auto,$9.290.000 CLP,123.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-hyundai-sonata-2-0-yf-gls-sun-auto/CL-AD-11578671/?Cr=243
221,2020,Volkswagen T-Cross 1.6 Trendline,$15.700.000 CLP,21.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-volkswagen-t-cross-1-6-trendline/CL-AD-12569815/?Cr=245
222,2022,Jeep Wrangler 3.6 Unlimited Sport Auto 4WD,$45.000.000 CLP,4.120 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2022-jeep-wrangler-3-6-unlimited-sport-auto-4wd/CL-AD-12113411/?Cr=246
223,2019,Suzuki Baleno 1.4 GLS,$11.200.000 CLP,58.300 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-suzuki-baleno-1-4-gls/CL-AD-12739993/?Cr=247
224,2014,Chevrolet Silverado LT III 4WD 5.3,$24.100.000 CLP,120.143 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-silverado-lt-iii-4wd-5-3/CL-AD-12735777/?Cr=248
225,2016,Jeep Cherokee,$18.500.000 CLP,18.282 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-jeep-cherokee/CL-AD-12688205/?Cr=250
226,2012,Volkswagen Bora Trendline Sky,$6.700.000 CLP,184.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-volkswagen-bora-trendline-sky/CL-AD-12694300/?Cr=251
227,2020,Dfsk Serie C 1.2 Manual Cargo Van AC C25,$7.850.000 CLP,31.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-dfsk-serie-c-1-2-manual-cargo-van-ac-c25/CL-AD-12483831/?Cr=252
228,2010,Dodge Dakota 3.7 Quad Cab Laramie 4X4 Auto,$11.000.000 CLP,180.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2010-dodge-dakota-3-7-quad-cab-laramie-4x4-auto/CL-AD-12061197/?Cr=253
229,2016,Hyundai Tucson,$16.350.000 CLP,71.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-hyundai-tucson/CL-AD-12271269/?Cr=254
230,2017,Chevrolet Silverado 5.3 Auto LT Z71 Cab Ext. 4WD,$29.980.000 CLP,95.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-chevrolet-silverado-5-3-auto-lt-z71-cab-ext-4wd/CL-AD-12487041/?Cr=256
231,2017,SsangYong Actyon Sports,$13.500.000 CLP,110.800 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-ssangyong-actyon-sports/CL-AD-12368951/?Cr=257
232,2018,Ford F-150 5.0 Double Cab Lariat Luxury 4WD,$35.900.000 CLP,85.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-5-0-double-cab-lariat-luxury-4wd/CL-AD-12424347/?Cr=258
233,2016,Changan M201 1.2 Cargo,$5.950.000 CLP,5.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-changan-m201-1-2-cargo/CL-AD-12541279/?Cr=259
234,2015,Ford Raptor,$27.800.000 CLP,114.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-ford-raptor/CL-AD-12564163/?Cr=260
235,2014,Subaru Forester 2.0 X 4WD,$12.500.000 CLP,144.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-subaru-forester-2-0-x-4wd/CL-AD-12662407/?Cr=261
236,2012,Ford F-150,$18.500.000 CLP,170.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-ford-f-150/CL-AD-11644939/?Cr=262
237,2018,MINI F56,$18.980.000 CLP,35.900 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-mini-f56/CL-AD-12497218/?Cr=263
238,2014,Mitsubishi Montero,$19.500.000 CLP,240.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2014-mitsubishi-montero/CL-AD-12056763/?Cr=265
239,2016,Chevrolet Corvette,$74.000.000 CLP,40.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-corvette/CL-AD-12363503/?Cr=267
240,2018,Nissan Kicks 1.6 CVT Auto Exclusive,$16.990.000 CLP,24.600 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-nissan-kicks-1-6-cvt-auto-exclusive/CL-AD-12706963/?Cr=268
241,2012,Subaru Xv,$9.500.000 CLP,155.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-subaru-xv/CL-AD-12526487/?Cr=269
242,2022,Chery Tiggo 3 1.5 GLS,$14.300.000 CLP,1 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2022-chery-tiggo-3-1-5-gls/CL-AD-12455866/?Cr=270
243,2016,Suzuki Grand Nomade,$14.750.000 CLP,45.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade/CL-AD-12408347/?Cr=271
244,2018,BMW 240I M,$38.000.000 CLP,40.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-240i-m/CL-AD-12431551/?Cr=272
245,2013,Mahindra Scorpio 2.2 DSL GLX ABS 2AB 4WD,$9.800.000 CLP,138.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2013-mahindra-scorpio-2-2-dsl-glx-abs-2ab-4wd/CL-AD-12415558/?Cr=273
